case_id,year,month,day,country_id,iso3,country_name,region,city,location,location_latitude,location_longitude,location_accuracy,incident_type,perpetrator_type,organizational_affiliation,organizational_affiliation_2,loneactor_id,target_group,grouped_target_group,target_group_2,grouped_target_group_2,weapon_type,grouped_weapon_type,weapon_type_2,grouped_weapon_type_2,weapon_description,fatal,n_killed,n_wounded,description,plot_type,plot_targeting,plot_operational_planning,version
2013-3-11,2013,3,11,10,ITA,Italy,Toscana,Lucca,Ottavo Nano,43.840807876713015,10.516062995939631,1,2,6,Unknown,,39,200,Political opponents,,,501,Blunt instruments,400,Knives/bladed weapons and sharp objects,Brass knuckles and knife,0,0,1,"The perpetrator, a well-known local fascist, recognized the anti-fascist inside a takeaway shop and attacked him. When the perpetrator saw the victim, he started shouting his name, followed by 'Viva il Duce' [long live the Duce] while making the fascist salute. The victim said he didn't want any trouble and the perpetrator replied 'if you don't have problems, I'll create them for you' while he pulled out a knife and pointed it at the victims throat. Employees intervened and the victim headed outside. The perpetrator followed him and punched him with a brass knuckle in the face, striking his left eye and causing a fracture of the cheekbone . The perpetrator fled the scene when the police arrived. ",,,,2016
2013-3-17,2013,3,17,10,ITA,Italy,Campania,Naples,m,40.843166619040645,14.241615230049026,2,2,4,,,,102,Ethnic/religious minorities,,,580,Blunt instruments,500,Blunt instruments,"Metal object, brooms, beating/kicking",0,0,1,"A 42-year-old Jordanian man who had lived in Italy for 21 years was cleaning up outside the café where he worked in when a group of about 15 youths, aged 18 to 22, began throwing bottles at him. When he approached them, they hurled racist insults, pushed him, and, as he tried to defend himself, beat him with brooms taken from the café. One attacker struck him on the head from behind with a metal object, leaving him bleeding. The group then followed him into the café, throwing tables at him. The victim was hospitalized and treated for a head injury, scalp wounds, and multiple contusions.",,,,2023
2013-3-23-2,2013,3,23,6,DEU,Germany,Rheinland-Pfalz,Mettmann,Bahnhof-Mitte,51.24873444101976,6.979878630854744,1,1,8,,,,200,Political opponents,,,504,Blunt instruments,803,Other,"Bottles, pepper spray and beating/kicking",0,0,10,"A group of anti-fascists attending the ""Festival gegen Rassismus"" were ambushed by right-wing extremists as they left the event. The perpetrators, who had been waiting by the train station, used bottles, pepper spray, and physical violence in the attack. Around 30 people were involved in the clash, with eight victims requiring hospitalization, including at least ten injured. The attack had been planned and announced online in advance. The perpetrators gathered at a known neo-Nazi bar before targeting festival-goers. Ten individuals were arrested in connection with the assault.",,,,2023
2013-3-23,2013,3,23,6,DEU,Germany,Sachsen-Anhalt,Bad Dürrenberg,m,51.296767316748934,12.069390765770118,2,2,4,,,,200,Political opponents,,,504,Blunt instruments,600,Beating/kicking,Bottle and beating/kicking,0,0,1,"During a dance event at a bar, a 28-year-old leftist was attacked by right-wing extremists after expressing concern about their presence. One of the right-wingers punched the victim in the face, causing a nosebleed. The situation was briefly de-escalated, but the victim was later attacked again outside the bar. A second perpetrator threw a beer bottle at him, and the victim suffered a bleeding head injury and a fractured hand, requiring hospitalization. The bar owner was also racially abused when attempting to intervene. One of the perpetrators later shouted ""Sieg Heil"" and gave the Hitler salute. The state's security department is investigating the incident.",,,,2023
2013-3-28,2013,3,28,6,DEU,Germany,Bavaria,Coburg,Coburger Innenstadt,50.25943146963281,10.964705438637806,1,2,6,,,663,102,Ethnic/religious minorities,,,600,Beating/kicking,,,Beating/kicking,0,0,0,"A 63-year-old woman insulted a 29-year-old mother with a Turkish migrant background, who was out with her three children, with xenophobic remarks. The perpetrator then grabbed the four-year-old child and threw him onto the street. Oncoming cars managed to swerve in time. The severity threshold in this case is lowered due to the deliberate targeting of children.",,,,2023
2013-3-31-1,2013,3,31,6,DEU,Germany,Nordrhein-Westfalen,Aachen,Aachener Innenstadt,50.7749293669169,6.084232995940085,1,2,8,Karlsbande Ultras,,,200,Political opponents,,,802,Other,600,Beating/kicking,Pepper spray and beating/kicking,0,0,5,"During the night, five anti-fascists were attacked and injured with pepper spray and punches by members of the right-wing hooligan group ""Karlsbande Ultras"" (KBU) and people from their circle. In the hospital emergency room, there were further insults and threats from neo-Nazis.",,,,2023
2013-3-31,2013,3,31,7,GRC,Greece,Attica,Athens,Megalou Alexandrou,37.982871159649605,23.716664626430184,1,1,8,Golden Dawn (suspected) ,,,102,Ethnic/religious minorities,,,501,Blunt instruments,,,Knuckle dusters,0,0,3,"Six people in black clothes with knuckle-dusters attacked three migrants causing injuries to the head. The perpetrators asked ""where are you from"" before the attack. When they went to the police to report the attack, the victims were detained despite their injuries. They were sent to the hospital the next day. Due to the timeframe, location and Modus Operandi, it may be suspected that Golden Dawn was behind the attack. ",,,,2016
2013-4-3,2013,4,3,7,GRC,Greece,Attica,Athens,Produce market of Kolonos,38.001663139703126,23.71647766487511,1,1,2,Golden Dawn,,,102,Ethnic/religious minorities,,,600,Beating/kicking,,,Beating/kicking,0,0,1,"An immigrant was dragged out of a public market by a stall holder and handed over to a group of Golden Dawn members in a nearby street. There, the victim was beaten and left unconscious, covered in blood. Allegedly, the victim used to sell pretzels at the market and the stall holder had previously threatened him, saying ""I am Golden Dawn and we will expel all dirty immigrants from the country"".",,,,2023
2013-4-5,2013,4,5,19,GBR,United Kingdom,England,Oxford,m,51.752733448617086,-1.2558300562800018,2,2,6,,,591,102,Ethnic/religious minorities,,,502,Blunt instruments,,,Concrete block,0,0,1,"A 22-year-old security guard at a homeless shelter, of Pakistani background, was hit over the head with a concrete block by a man who made references to the victim's ethnicity. The perpetrator pleaded guilty to one count of committing a racially aggravated assault causing actually bodily harm.",,,,2023
2013-4-6,2013,4,6,6,DEU,Germany,Bavaria,Rosenheim,m,47.855074181418956,12.119392171291057,2,2,4,,,,200,Political opponents,,,500,Blunt instruments,600,Beating/kicking,Wooden slat and beating/kicking,0,0,1,"A group of at least three masked neo-Nazis attacked young leftists in their shared flat. The perpetrators broke into the apartment in the middle of the night. They were armed with wooden slats and knives. The perpetrators hit a victim who was lying on the ground with the wooden slats. The victims suffered a concussion. The perpetrators were eventually forced out of the apartment by the victims. The following night, right-wing extremists tried to break into the victims apartment again. Two days later, two of the perpetrators beat a 14-year-old Turkish boy and his 18-year-old companion to hospitalization (CaseID 2013-4-8).",,,,2023
