"","Duration","Treatment","VideoTime","VoteProbability","NewsDays","BidenNominee","TrumpNominee","StemMajor","HumanitiesMajor","ParentsInfluence","HSGPA","Ideology","Class","TrumpCharges"
"214",535,0,3.108,5,7,TRUE,TRUE,FALSE,TRUE,3,5,4,3,5
"215",152685,0,186.054,5,NA,TRUE,TRUE,TRUE,FALSE,4,5,5,2,7
"216",26,1,9.48,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"217",3,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"218",46,0,8.715,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"219",617,1,245.113,5,2,TRUE,TRUE,FALSE,FALSE,2,4,4,3,6
"220",2236,0,328.868,5,0,TRUE,TRUE,FALSE,FALSE,3,5,5,2,8
"221",940,0,192.659,5,0,TRUE,TRUE,TRUE,FALSE,3,5,3,3,7
"222",279370,0,119.232,5,4,TRUE,FALSE,FALSE,TRUE,2,5,5,2,4
"223",2,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"224",298190,0,229.327,4,0,FALSE,FALSE,FALSE,FALSE,3,3,4,2,5
"225",272,1,192.379,5,5,TRUE,TRUE,FALSE,FALSE,3,5,4,2,4
"226",874,1,274.955,1,0,TRUE,TRUE,TRUE,TRUE,5,NA,2,3,4
"227",449,0,166.32,5,0,TRUE,TRUE,TRUE,FALSE,4,4,5,3,5
"228",843,0,482.948,5,1,TRUE,FALSE,TRUE,TRUE,2,3,4,2,5
"229",292,0,100.705,5,0,TRUE,TRUE,TRUE,TRUE,4,5,4,3,5
"230",426,1,188.965,1,4,TRUE,TRUE,TRUE,FALSE,3,4,2,1,4
"231",204,0,126.04,5,3,TRUE,TRUE,TRUE,FALSE,2,5,5,3,6
"232",773,1,433.307,5,6,TRUE,FALSE,FALSE,TRUE,1,5,2,3,5
"233",701,1,224.514,1,0,FALSE,TRUE,FALSE,FALSE,2,NA,2,4,4
"234",814,1,337.549,1,3,TRUE,TRUE,FALSE,FALSE,2,3,4,3,4
"235",272,0,70.599,5,1,TRUE,TRUE,FALSE,FALSE,3,5,4,2,5
"236",6,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"237",4,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
